Identifiant,CoordsY,CoordsX,NomStation
H2S_Légué,48.529962,-2.726646,Légué
H2S_Houvet,48.539982,-2.719712,Houvet
H2S_Valais,48.527294,-2.716936,Valais
H2S_Boutdeville,48.506106,-2.698735,Boutdeville
H2S_Hotellerie,48.513829,-2.675663,Hotellerie
H2S_StMaurice,48.52960,-2.63256,St Maurice
H2S_StGuimond,48.5236236,-2.6782377,St Guimond
H2S_AvantPort,48.603564,-2.8193136,Avant Port
H2S_BonAbri,48.5251154,-2.6542997,Bon Abri
H2S_Salines,48.6098461,-2.3158353,Salines
H2S_Roscoat,48.6756043,-3.5724531,Roscoat
H2S_Douron,48.6778252,-3.6464554,Douron
H2S_Poulgueguen,48.7023512,-4.0529292,Poulgueguen
H2S_Dibennou,48.6396505,-4.4289689,Dibennou
H2S_Curnic,48.6394419,-4.4461161,Curnic
H2S_SteAnne,48.134058,-4.2686277,Ste Anne
H2S_Kerbrat,48.6859716,-4.0581797,Kerbrat
H2S_Grandville,48.523481,-2.64022,Grandville
H2S_GR34HillOuest,48.516521,-2.675756,GR34 Hill Ouest
H2S_MoulinRive,48.687071,-3.675928,Moulin Rive
H2S_Lapic,48.130493,-4.267885,Lapic
H2S_Ris,48.092137,-4.296791,Ris
H2S_Trez,48.104731,-4.285635,Trez
H2S_Banche,48.599893,-2.824553,Banche
H2S_Toul,48.687528,-4.062257,Toul
